UID          PID    PPID  C STIME TTY          TIME CMD
seonu       3311    1314  0 14:53 ?        00:00:04 /usr/bin/gedit --gapplication-service
root        3387       2  0 14:55 ?        00:00:00 [kworker/u9:2-rb_allocator]
root        3416       1  0 15:01 ?        00:00:01 /usr/libexec/fwupd/fwupd
root        3462       2  0 15:16 ?        00:00:00 [kworker/3:0-events]
root        3467       2  0 15:18 ?        00:00:00 [kworker/2:0-events]
root        3515       2  0 15:19 ?        00:00:00 [kworker/u8:4-i915]
root        3552       2  0 19:25 ?        00:00:00 [kworker/u8:43-flush-259:0]
root        3558       2  0 19:25 ?        00:00:00 [kworker/u8:49-events_power_efficient]
root        3562       2  0 19:25 ?        00:00:00 [irq/128-mei_me]
root        3572       2  0 19:25 ?        00:00:00 [kworker/0:5-i915-unordered]
root        3574       2  0 19:25 ?        00:00:00 [kworker/0:6-events]
seonu       3628    1656  0 19:25 ?        00:00:00 /usr/libexec/ibus-engine-simple
seonu       3645    1472  0 19:25 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:0:0:0
seonu       3754    1314  0 19:26 ?        00:00:00 /usr/lib/libreoffice/program/oosplash --writer file:///home/seonu/Documents/03%E1%84%80%E1%85%AA%E1%84%8C%E1%85%A6.docx
seonu       3770    3754  7 19:26 ?        00:00:46 /usr/lib/libreoffice/program/soffice.bin --writer file:///home/seonu/Documents/03%E1%84%80%E1%85%AA%E1%84%8C%E1%85%A6.docx
seonu       3846    1314  1 19:26 ?        00:00:07 /usr/bin/python3 /usr/bin/x-terminal-emulator
seonu       3874    3846  0 19:26 pts/0    00:00:00 /bin/bash
seonu       3915    3846  0 19:27 pts/1    00:00:00 /bin/bash
seonu       4030    2022 17 19:30 ?        00:01:09 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1758864938196798 --launch-time-ticks=2969241248 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,12434855874911452023,7736897931604924442,2097152 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
seonu       4039    2022  0 19:30 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=20 --time-ticks-at-unix-epoch=-1758864938196798 --launch-time-ticks=2969416036 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,15513601656806365528,3659928995735925333,2097152 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
root        4065       2  0 19:30 ?        00:00:00 [kworker/3:2-i915-unordered]
root        4072       2  0 19:31 ?        00:00:00 [kworker/1:2-events]
root        4082       2  0 19:32 ?        00:00:00 [kworker/u9:0+i915_flip]
root        4260       2  0 19:36 ?        00:00:00 [kworker/3:1-i915-unordered]
root        4275       2  0 19:36 ?        00:00:00 [kworker/0:0]
root        4295       2  0 19:37 ?        00:00:00 [kworker/u8:0-writeback]
seonu       4296    3915  0 19:37 pts/1    00:00:00 ps -ef
